,NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,X,Y
1014,CVS - 5024,27 FENNELL STREET,SKANEATELES,NY,13152,1158,ONONDAGA,36067,-76.432289,42.947148
1015,RITE AID - 10723,357 CORNELIA STREET,PLATTSBURGH,NY,12901,2211,CLINTON,36019,-73.482555,44.696382
1016,MID-HUDSON FORENSIC PSYCHIATRIC CENTER,2834 ROUTE 17M,NEW HAMPTON,NY,10958,5011,ORANGE,36071,-74.392684,41.405242
1017,KINNEY DRUGS,23 FENNELL STREET,SKANEATELES,NY,13152,1117,ONONDAGA,36067,-76.432006,42.946944
1018,WAL-MART SUPERCENTER - 2234,5815 ROME TABERG ROAD,ROME,NY,13440,1759,ONEIDA,36065,-75.50187700000001,43.23741
1019,"TOPS MARKETS, LLC",2300 N TRIPHAMMER RD,ITHACA,NY,14850,1088,TOMPKINS,36109,-76.48568900000001,42.483042
1020,WALGREENS - 9416,2329 JAMES STREET,SYRACUSE,NY,13206,2840,ONONDAGA,36067,-76.11427900000001,43.0688
1021,"TOPS MARKETS, LLC",710 S MEADOW ST,ITHACA,NY,14850,5361,TOMPKINS,36109,-76.50840500000001,42.431893
1022,THE MEDICINE SHOPPE PHARMACY,507 LENOX AVENUE,ONEIDA,NY,13421,1521,MADISON,36053,-75.661336,43.090455
1023,NEEL-PATH LLC,6845 STATE ROUTE 434,APALACHIN,NY,13732,3503,TIOGA,36107,-76.14986400000001,42.069159
1024,RITE AID - 10735,95 NELSON STREET,CAZENOVIA,NY,13035,1322,MADISON,36053,-75.840917,42.926741
1025,PALMER PHARMACY INC,2083 RT 96,TRUMANSBURG,NY,14886,9129,TOMPKINS,36109,-76.638296,42.532202000000005
1026,KINNEY DRUGS INC,513 N CAYUGA ST,ITHACA,NY,14850,3663,TOMPKINS,36109,-76.498901,42.4453
1027,TOPS,40 FENNELL STREET,SKANEATELES,NY,13152,1122,ONONDAGA,36067,-76.432542,42.94878
1028,GOLUB CORPORATION,5631 STATE HIGHWAY 12,NORWICH,NY,13815,3205,CHENANGO,36017,-75.523399,42.513888
1029,KINNEY DRUGS,5221 WEST TAFT ROAD,NORTH SYRACUSE,NY,13212, ,ONONDAGA,36067,-76.15539799999999,43.122695
1030,WAL-MART SUPERCENTER - 3329,7494 UNITED STATES HIGHWAY 11,POTSDAM,NY,13676, ,ST LAWRENCE,36089,-75.02651999999999,44.661434
1031,K MART CORP,744 S MEADOW ST,ITHACA,NY,14850,5321,TOMPKINS,36109,-76.508298,42.429961999999996
1032,WAVERLY PHARMACY,316 BROAD ST,WAVERLY,NY,14892,1326,TIOGA,36107,-76.540746,42.00075
1033,KINNEY DRUGS,300 MAIN STREET,MASSENA,NY,13662,1901,ST LAWRENCE,36089,-74.891103,44.922359
1034,FAIRBANKS PHARMACY INC,37 MAIN ST,SIDNEY,NY,13838,1139,DELAWARE,36025,-75.39200699999999,42.315739
1035,KINNEY DRUGS,371 EAST MAIN STREET,GOUVERNEUR,NY,13642,1547,ST LAWRENCE,36089,-75.455936,44.340452
1036,OCONNOR HOSPITAL PHARMACY,460 ANDES RD,DELHI,NY,13753,7407,DELAWARE,36025,-74.915939,42.268528
1037,WAL-MART SUPERCENTER - 1946,43 STEPHENVILLE STREET,MASSENA,NY,13662,2705,ST LAWRENCE,36089,-74.87768100000001,44.92205
1038,BAINBRIDGE PHARMACY INC,19 N MAIN ST,BAINBRIDGE,NY,13733,1210,CHENANGO,36017,-75.47834399999999,42.29396
1039,CL CRESSLER INC,8836 STATE ROUTE 434,APALACHIN,NY,13732,4102,TIOGA,36107,-76.121115,42.061844
1040,SAINT LAWRENCE PSYCHIATRIC CENTER,1 CHIMNEY POINT DRIVE,OGDENSBURG,NY,13669,2212,ST LAWRENCE,36089,-75.437562,44.729285
1041,PRICE CHOPPER - 207,4535 COMMERCIAL DRIVE,NEW HARTFORD,NY,13413,6208,ONEIDA,36065,-75.319046,43.086077
1042,"MARTINS FOODS OF SOUTH BURLINGTON, INC",190 QUAKER RD,QUEENSBURY,NY,12804,1718,WARREN,36113,-73.654289,43.331837
1043,KINNEY DRUGS,261 UTICA BOULEVARD,BOONVILLE,NY,13309, ,ONEIDA,36065,-75.319282,43.475879
1044,PRICE CHOPPER - 206,1790 NORTH BLACK RIVER BOULEVARD,ROME,NY,13440,2454,ONEIDA,36065,-75.43631500000001,43.232233
1045,"MARTINS FOODS OF SOUTH BURLINGTON, INC",175 BROAD ST,GLENS FALLS,NY,12801,4118,WARREN,36113,-73.66029499999999,43.303859
1046,SLOCUM DICKSON PHARMACY,1729 BURRSTONE ROAD,NEW HARTFORD,NY,13413,1001,ONEIDA,36065,-75.279482,43.093156
1047,LINCARE,8181 SENECA TURNPIKE,CLINTON,NY,13323,1100,ONEIDA,36065,-75.343911,43.084852000000005
1048,CVS - 5389,2535 STATE ROUTE 9,MALTA,NY,12020,4328,SARATOGA,36091,-73.790582,42.974589
1049,DONALD J MITCHELL DEPARTMENT OF VETERANS AFFAIRS OUTPATIENT CLINIC,125 BROOKLEY ROAD,ROME,NY,13441,4301,ONEIDA,36065,-75.418024,43.212115000000004
1050,KINNEY DRUGS,41 ALBANY STREET,CAZENOVIA,NY,13035,1214,MADISON,36053,-75.854499,42.930467
1051,CHEM RX,16 WALKER WAY,ALBANY,NY,12205,4995,ALBANY,36001,-73.83977800000001,42.715737
1052,BREWERTON PHARMACY,9679 BREWERTON ROAD,BREWERTON,NY,13029,8738,ONONDAGA,36067,-76.141082,43.23853
1053,KINNEY DRUGS,12 PARK PLACE,SAINT JOHNSVILLE,NY,13452,1332,MONTGOMERY,36057,-74.678366,42.997724
1054,KINNEY DRUGS,31 EAST GENESEE STREET,BALDWINSVILLE,NY,13027,2518,ONONDAGA,36067,-76.33027299999999,43.159181
1055,RITE AID - 10771,323 EAST ALBANY STREET,HERKIMER,NY,13350,2016,HERKIMER,36043,-74.983073,43.028306
1056,PRICE CHOPPER - 199,5701 EAST CIRCLE DRIVE,CICERO,NY,13039,8649,ONONDAGA,36067,-76.12011600000001,43.150903
1057,PARKWAY DRUGS,350 LELAND AVENUE,UTICA,NY,13502,2327,ONEIDA,36065,-75.205465,43.113369
1058,KINNEY DRUGS,40 ORISKANY BOULEVARD,WHITESBORO,NY,13492,1318,ONEIDA,36065,-75.290828,43.117308
1059,FORT DRUM - GUTHRIE AMBULATORY HEALTH CARE CLINIC - CAPTAIN JOHN SAYRE MARSHALL DENTAL CLINIC PHARMACY-DOD,10205 NORTH RIVA RIDGE LOOP,FORT DRUM,NY,13602,5457,JEFFERSON,36045,-75.79200300000001,44.05543
1060,CVS - 848,107 SOUTH COUNTRY ROAD,BELLPORT,NY,11713,2523,SUFFOLK,36103,-72.940752,40.75734
1061,WAL-MART SUPERCENTER - 3332,1818 STATE ROUTE 3,FULTON,NY,13069,1565,OSWEGO,36075,-76.44863199999999,43.32359
1062,WALGREENS - 10157,150 GRANT AVENUE,AUBURN,NY,13021,1502,CAYUGA,36011,-76.549685,42.944255
1063,WALGREENS - 10863,301 GENESEE STREET,AUBURN,NY,13021,3230,CAYUGA,36011,-76.583974,42.923144
1064,PATHMARK,941 CARMANS ROAD,MASSAPEQUA,NY,11758,3504,NASSAU,36059,-73.431076,40.702109
1065,RITE AID - 3465,3035 EAST AVENUE,CENTRAL SQUARE,NY,13036,2611,OSWEGO,36075,-76.12989499999999,43.285326
1066,RITE AID - 653,4764 SALINA STREET,PULASKI,NY,13142,4715,OSWEGO,36075,-76.125945,43.562359
1067,RITE AID - 10728,315 GENESEE STREET,AUBURN,NY,13021,3150,CAYUGA,36011,-76.587322,42.922725
1068,CORWITH PHARMACY,56 HAMPTON ROAD,SOUTHAMPTON,NY,11968,4930,SUFFOLK,36103,-72.387428,40.887256
1069,KINNEY DRUGS,3873 ROME ROAD,PULASKI,NY,13142, ,OSWEGO,36075,-76.122839,43.559698
1070,BOLTON'S PHARMACY II,18969 UNITED STATES ROUTE 11,WATERTOWN,NY,13601, ,JEFFERSON,36045,-75.920216,43.941586
1071,WALGREENS - 6334,703 NEWBRIDGE ROAD,NORTH BELLMORE,NY,11710,1613,NASSAU,36059,-73.544021,40.705295
1072,PRICE CHOPPER - 226,137 STATE ROUTE 104,OSWEGO,NY,13126,2937,OSWEGO,36075,-76.48687199999999,43.462548
1073,RITE AID - 10787,118 CANAL STREET,CARTHAGE,NY,13619,1601,JEFFERSON,36045,-75.611263,43.976033
1074,HAMPTON HOMECARE,16 HAMPTON ROAD,SOUTHAMPTON,NY,11968,4930,SUFFOLK,36103,-72.388789,40.886972
1075,KMART,2078 STATE ROUTE 481,FULTON,NY,13069, ,OSWEGO,36075,-76.392087,43.308575
1076,WAL-MART - 1871,20823 STATE ROUTE 3,WATERTOWN,NY,13601,5577,JEFFERSON,36045,-75.95881,43.97654
1077,CVS - 2052,3491 MERRICK ROAD,WANTAGH,NY,11793,4331,NASSAU,36059,-73.501903,40.665377
1078,HARBOR PHARMACY,20 WEST BRIDGE STREET,OSWEGO,NY,13126,2051,OSWEGO,36075,-76.51163299999999,43.45621
1079,KMART,21082 PIONEER PLAZA DRIVE,WATERTOWN,NY,13601,5500,JEFFERSON,36045,-75.954812,43.972112
1080,RITE AID - 10649,2799 ROUTE 112,MEDFORD,NY,11763,2535,SUFFOLK,36103,-72.993148,40.825485
1081,CVS - 982,646 WANTAGH AVENUE,LEVITTOWN,NY,11756,5325,NASSAU,36059,-73.502707,40.70841
1082,TOPS,3830 ROME ROAD,PULASKI,NY,13142, ,OSWEGO,36075,-76.117121,43.559018
1083,GIFFORD AND WEST PHARMACY,300 GIFFORD STREET,SYRACUSE,NY,13204,3257,ONONDAGA,36067,-76.15852,43.043832
1084,RITE AID - 10659,346 POINT PLAZA,ROCKY POINT,NY,11778, ,SUFFOLK,36103,-72.943708,40.9433
1085,RITE AID - 10739,170 PORT WATSON STREET,CORTLAND,NY,13045,3125,CORTLAND,36023,-76.166085,42.598762
1086,RITE AID - 10768,602 NOTTINGHAM ROAD,SYRACUSE,NY,13224,2234,ONONDAGA,36067,-76.11061600000001,43.021879
1087,CVS - 2135,13 PORT WATSON STREET,CORTLAND,NY,13045,2606,CORTLAND,36023,-76.17948100000001,42.597217
1088,TARGET,3657 WEST GENESEE STREET,SYRACUSE,NY,13219,2003,ONONDAGA,36067,-76.236736,43.046596
1089,WALGREENS - 10158,3948 ROUTE 281,CORTLAND,NY,13045,8851,CORTLAND,36023,-76.20405799999999,42.597587
1090,KINNEY DRUGS,4202 WEST GENESEE STREET,SYRACUSE,NY,13219,1936,ONONDAGA,36067,-76.244225,43.046141999999996
1091,KMART,854 STATE ROUTE 13,CORTLAND,NY,13045, ,CORTLAND,36023,-76.216077,42.570495
1092,UPSTATE HOMECARE,6700 THOMPSON ROAD,SYRACUSE,NY,13211,2141,ONONDAGA,36067,-76.095054,43.095641
1093,TOPS,3932 STATE ROUTE 281,CORTLAND,NY,13045,8851,CORTLAND,36023,-76.202914,42.596136
1094,THE MEDICINE SHOPPE PHARMACY,58 MAIN STREET,CAMDEN,NY,13316,1338,ONEIDA,36065,-75.748327,43.334537
1095,WALGREENS - 9153,2061 WESTERN AVENUE,GUILDERLAND,NY,12084,9559,ALBANY,36001,-73.88870899999999,42.698369
1096,KINNEY DRUGS,112 NEW YORK ROAD,PLATTSBURGH,NY,12903,3933,CLINTON,36019,-73.45168699999999,44.678548
1097,PRICE CHOPPER - 168,475 STATE ROUTE 3,PLATTSBURGH,NY,12901,6521,CLINTON,36019,-73.492223,44.695382
1098,FEEK HEALTH MART PHARMACY,14223 NYS ROUTE 9N,AU SABLE FORKS,NY,12912, ,ESSEX,36031,-73.676829,44.440433
1099,SOUTHRIFTY DRUG,54 JAGGER LANE,SOUTHAMPTON,NY,11968,4822,SUFFOLK,36103,-72.39219399999999,40.887426
1100,TARGET,2975 HORSEBLOCK ROAD,MEDFORD,NY,11763,2526,SUFFOLK,36103,-72.988934,40.824444
1101,WAL-MART - 2156,750 MIDDLE COUNTRY ROAD,MIDDLE ISLAND,NY,11953,2542,SUFFOLK,36103,-72.94715699999999,40.880132
1102,WALGREENS - 4687,1580 ROUTE 112,MEDFORD,NY,11763,3632,SUFFOLK,36103,-73.007491,40.795246
1103,CVS - 7621,930 MONTAUK HIGHWAY,COPIAGUE,NY,11726,4901,SUFFOLK,36103,-73.392637,40.668331
1104,WAL-MART - 2906,765 OLD COUNTRY ROAD,RIVERHEAD,NY,11901,2111,SUFFOLK,36103,-72.664757,40.932576
1105,KING KULLEN,795 OLD COUNTRY ROAD,RIVERHEAD,NY,11901,2111,SUFFOLK,36103,-72.666957,40.933637
1106,YORE X DRUGS,1850 ROUTE 112,CORAM,NY,11727,2232,SUFFOLK,36103,-73.01568499999999,40.88946
1107,RITE AID - 4845,2410 MERRICK ROAD,BELLMORE,NY,11710,5701,NASSAU,36059,-73.536491,40.661245
1108,MEDICINE SHOPPE PHARMACY,827 BLACK RIVER BOULEVARD,ROME,NY,13440,3549,ONEIDA,36065,-75.447838,43.220276
1109,BERNHARD'S PHARMACY,34 WEST MERRICK ROAD,FREEPORT,NY,11520,3827,NASSAU,36059,-73.581692,40.654261
1110,UPSTATE HOME CARE,7506 STATE ROUTE 5,CLINTON,NY,13323,3654,ONEIDA,36065,-75.390986,43.07911
1111,PHARMACY SOLUTIONS,2308 BLEECKER STREET,UTICA,NY,13501,1746,HERKIMER,36043,-75.179328,43.085817999999996
1112,CVS - 992,403 ATLANTIC AVENUE,FREEPORT,NY,11520,5216,NASSAU,36059,-73.593626,40.643712
1113,RANDALL'S PHARMACY,44 GENESEE STREET,NEW HARTFORD,NY,13413,2337,ONEIDA,36065,-75.28835699999999,43.073405
1114,CVS - 1235,1829 GRAND AVENUE,BALDWIN,NY,11510,2453,NASSAU,36059,-73.60686700000001,40.666191
1115,KINNEY DRUGS INC,15 EAST MAIN STREET,TRUMANSBURG,NY,14886, ,TOMPKINS,36109,-76.66170100000001,42.542215999999996
1116,CVS - 1292,1334 BALLTOWN ROAD,NISKAYUNA,NY,12309,5338,SCHENECTADY,36093,-73.89218100000001,42.810881
1117,NATHAN LITTAUER RETAIL PHARMACY,99 EAST STATE STREET,GLOVERSVILLE,NY,12078,1203,FULTON,36035,-74.33194499999999,43.071535
1118,CVS - 1084,114 SOUTH LONG BEACH AVENUE,FREEPORT,NY,11520,3441,NASSAU,36059,-73.590203,40.652961
1119,PENN TRAFFIC COMPANY THE,54 E MAIN ST,NORWICH,NY,13815,1860,CHENANGO,36017,-75.52043,42.531222
1120,CVS - 611,2009 BROADWAY,SCHENECTADY,NY,12306,4123,SCHENECTADY,36093,-73.965036,42.798196999999995
1121,"WEGMANS FOOD MARKETS, INC",500 S MEADOW ST,ITHACA,NY,14850,5317,TOMPKINS,36109,-76.508523,42.434965999999996
1122,THE VILLAGE APOTHECARY,26 CHURCH STREET,CANAJOHARIE,NY,13317,1165,MONTGOMERY,36057,-74.571951,42.905573
1123,HOMETOWN HEALTH CENTER,1044 STATE STREET,SCHENECTADY,NY,12307,1508,SCHENECTADY,36093,-73.928236,42.801165000000005
1124,PALMER PHARMACY INC,131 E GREEN ST STE 2,ITHACA,NY,14850,5613,TOMPKINS,36109,-76.498111,42.438368
1125,FORT DRUM - GUTHRIE AMBULATORY HEALTH CARE CLINIC - CONNER TROOP MEDICAL CLINIC PHARMACY-DOD,10506 SOUTH RIVA RIDGE LOOP,FORT DRUM,NY,13602, ,JEFFERSON,36045,-75.787867,44.051
1126,FORT DRUM - GUTHRIE AMBULATORY HEALTH CARE CLINIC - POST EXCHANGE PHARMACY-DOD,ENDURING FREEDOM DRIVE,FORT DRUM,NY,13602, ,JEFFERSON,36045,-75.807449,44.043695
1127,AUMILLER'S PHARMACY INCORPORATED,1340 STATE STREET,SCHENECTADY,NY,12304,2721,SCHENECTADY,36093,-73.92160200000001,42.795590999999995
1128,CATSKILL CARE ENTERPRISES INC,1 FOX CARE DR STE 215,ONEONTA,NY,13820,2086,OTSEGO,36077,-75.031824,42.457149
1129,BROWNS PHARMACY LLC,225 MAIN ST,UNADILLA,NY,13849,2245,OTSEGO,36077,-75.313744,42.325415
1130,CORAM HEALTHCARE CORPORATION OF NEW YORK,2949 ERIE BOULEVARD EAST,SYRACUSE,NY,13224,1447,ONONDAGA,36067,-76.0879,43.055986
1131,CVS - 5456,2027 DOUBLEDAY AVENUE,BALLSTON SPA,NY,12020,1243,SARATOGA,36091,-73.846971,43.014274
1132,WALDBAUM'S,702 HICKSVILLE ROAD,NORTH MASSAPEQUA,NY,11758,1260,NASSAU,36059,-73.477091,40.692409999999995
1133,FORT DRUM - GUTHRIE AMBULATORY HEALTH CARE CLINIC - STONE DENTAL CLINIC-DOD,10590 ENDURING FREEDOM DRIVE,FORT DRUM,NY,13602, ,JEFFERSON,36045,-75.77574,44.048891
1134,HANNAFORD,11 TRIEBLE AVENUE,BALLSTON SPA,NY,12020,6010,SARATOGA,36091,-73.852593,43.047533
1135,BIGELOWS PHARMACY INC,38 N BROAD ST,NORWICH,NY,13815,1445,CHENANGO,36017,-75.523453,42.532415
1136,KINNEY DRUGS,1304 WASHINGTON STREET,WATERTOWN,NY,13601,4500,JEFFERSON,36045,-75.914727,43.958836
1137,RITE AID - 7829,1701 ROUTE 9,CLIFTON PARK,NY,12065,3100,SARATOGA,36091,-73.76831999999999,42.863921999999995
1138,ECKERD CORPORATION,10 MAIN STREET,SIDNEY,NY,13838,1135,DELAWARE,36025,-75.392767,42.315509999999996
1139,DUANE READE,4250 JERUSALEM AVENUE,NORTH MASSAPEQUA,NY,11758,3315,NASSAU,36059,-73.47910999999999,40.691045
1140,KINNEY DRUGS,822 JAMES STREET,CLAYTON,NY,13624,1404,JEFFERSON,36045,-76.082972,44.233534000000006
1141,HANNAFORD,27-41 GANSEVOORT ROAD,SOUTH GLENS FALLS,NY,12803,5256,SARATOGA,36091,-73.638171,43.286063
1142,ECKERD CORPORATION,5626 STATE HIGHWAY 7,ONEONTA,NY,13820,2050,OTSEGO,36077,-75.011002,42.463468
1143,RITE AID - 607,47 EAST GENESEE STREET,AUBURN,NY,13021,4027,CAYUGA,36011,-76.559585,42.933779
1144,CVS BDI INC,215 DELAWARE ST,WALTON,NY,13856,1019,DELAWARE,36025,-75.13476,42.169191999999995
1145,RITE AID - 10695,463 ALBANY SHAKER ROAD,LOUDONVILLE,NY,12211,1833,ALBANY,36001,-73.775977,42.705945
1146,HANNAFORD,3333 CONSAUL ROAD,SCHENECTADY,NY,12304,2255,SCHENECTADY,36093,-73.891176,42.783382
1147,PINE HILL PHARMACY,2949 STATE ROUTE 370,CATO,NY,13033,9794,CAYUGA,36011,-76.545013,43.169177000000005
1148,PILL MILL INC,778 MAIN STREET,MARGARETVILLE,NY,12455, ,DELAWARE,36025,-74.648197,42.148182
1149,CVS - 5358,3916 CARMAN ROAD,SCHENECTADY,NY,12303,5608,ALBANY,36001,-73.932804,42.715459
1150,SUPER STOP AND SHOP - 0547,2450 JERUSALEM AVENUE,NORTH BELLMORE,NY,11710,1827,NASSAU,36059,-73.540933,40.690148
1151,CVS - 2226,12 SOUTH CENTRAL AVENUE,MECHANICVILLE,NY,12118,1503,SARATOGA,36091,-73.687779,42.90255
1152,STAMFORD PHARMACY INC,119 MAIN ST,STAMFORD,NY,12167,1159,DELAWARE,36025,-74.619486,42.409599
1153,KINNEY DRUGS,62 OWASCO STREET,AUBURN,NY,13021,4059,CAYUGA,36011,-76.55704399999999,42.930056
1154,RITE AID - 10699,1215 TROY SCHENECTADY ROAD,LATHAM,NY,12110,1007,ALBANY,36001,-73.824021,42.773434
1155,PRICE CHOPPER - 112,15 PARK AVENUE,CLIFTON PARK,NY,12065,2924,SARATOGA,36091,-73.782762,42.865491
1156,PHARMACY OPERATIONS OF NEW YORK INC,941 STATE ROUTE 17C,OWEGO,NY,13827,4819,TIOGA,36107,-76.237262,42.100553999999995
1157,RX CITY PHARMACY,37 WEST GARDEN STREET,AUBURN,NY,13021,2657,CAYUGA,36011,-76.568285,42.934535
1158,RITE AID - 10629,2815 JERUSALEM AVENUE,NORTH BELLMORE,NY,11710,1833,NASSAU,36059,-73.527991,40.692473
1159,MARGARETVILLE MEMORIAL HOSPITAL,42084 STATE HWY 28,MARGARETVILLE,NY,12455,2820,DELAWARE,36025,-74.642464,42.147337
1160,ECKERD CORPORATION,94 CHESTNUT ST,ONEONTA,NY,13820,2470,OTSEGO,36077,-75.068033,42.454901
1161,CVS - 230,70 ATLANTIC AVENUE,OCEANSIDE,NY,11572,2037,NASSAU,36059,-73.642222,40.639522
1162,KINNEY DRUGS INC,33 NORTH STREET,DRYDEN,NY,13053, ,TOMPKINS,36109,-76.298286,42.494192
1163,WAL-MART - 2264,1320 ALTAMONT AVENUE,SCHENECTADY,NY,12303,2918,SCHENECTADY,36093,-73.941696,42.78537
1164,RITE AID - 4587,1936 VAN VRANKEN AVENUE,SCHENECTADY,NY,12308,1629,SCHENECTADY,36093,-73.921223,42.827789
1165,WALGREENS - 9971,41 HOLLAND AVENUE,ALBANY,NY,12208, ,ALBANY,36001,-73.773011,42.648403
1166,RITE AID - 10722,3027 ROUTE 50,SARATOGA SPRINGS,NY,12866,2926,SARATOGA,36091,-73.745224,43.1007
1167,PRICE CHOPPER - 175,1879 ALTAMONT AVENUE,SCHENECTADY,NY,12303,3851,SCHENECTADY,36093,-73.955105,42.782559
1168,RITE AID - 10781,1503 GENESEE STREET,UTICA,NY,13501,4709,ONEIDA,36065,-75.247798,43.092461
1169,RITE AID - 10747,703 OLD LIVERPOOL ROAD,LIVERPOOL,NY,13088,6034,ONONDAGA,36067,-76.196933,43.094809000000005
1170,THE MEDICINE SHOPPE PHARMACY,1099 STATE ROUTE 222,CORTLAND,NY,13045,1844,CORTLAND,36023,-76.202237,42.599039000000005
1171,TARGET,340 TOWNE DRIVE,FAYETTEVILLE,NY,13066,1371,ONONDAGA,36067,-76.020399,43.031487
1172,RITE AID - 590,169 NORTH MAIN STREET,GLOVERSVILLE,NY,12078,2402,FULTON,36035,-74.34298100000001,43.055351
1173,WAL-MART - 2166,6438 BASILE ROWE,EAST SYRACUSE,NY,13057,3900,ONONDAGA,36067,-76.060301,43.060851
1174,WAL-MART - 1806,233 5TH AVENUE EXTENSION,GLOVERSVILLE,NY,12078,1814,FULTON,36035,-74.321724,43.061462
1175,WAL-MART SUPERCENTER - 5242,8064 BREWERTON ROAD,CICERO,NY,13039,9584,ONONDAGA,36067,-76.11747700000001,43.161058000000004
1176,PRICE CHOPPER - 24,60 HIGH STREET,WEST CARTHAGE,NY,13619,1350,JEFFERSON,36045,-75.624663,43.970222
1177,WAL-MART SUPERCENTER - 2285,103 NORTH CAROLINE STREET,HERKIMER,NY,13350,1716,HERKIMER,36043,-74.99784,43.021404
1178,WEGMANS,4979 WEST TAFT ROAD,LIVERPOOL,NY,13088,4811,ONONDAGA,36067,-76.169957,43.123052
1179,RITE AID - 10783,1711 GENESEE STREET,UTICA,NY,13501,5628,ONEIDA,36065,-75.257639,43.087882
1180,PRICE CHOPPER - 164,6025 STATE HIGHWAY 5,PALATINE BRIDGE,NY,13428,2807,MONTGOMERY,36057,-74.591475,42.915027
1181,RITE AID - 10731,8417 OSWEGO ROAD,BALDWINSVILLE,NY,13027,8813,ONONDAGA,36067,-76.259624,43.177788
1182,EAST HAMPTON PHARMACY,106 NORTH MAIN STREET,EAST HAMPTON,NY,11937,2640,SUFFOLK,36103,-72.181915,40.969134000000004
1183,WALGREENS - 10750,6189 STATE ROUTE 31,CICERO,NY,13039,9218,ONONDAGA,36067,-76.09313,43.177217999999996
1184,WALGREENS - 9798,4855 COMMERCIAL DRIVE,NEW HARTFORD,NY,13413,6212,ONEIDA,36065,-75.303508,43.097821
1185,SUPER STOP AND SHOP - 0550,351 MERRICK ROAD,AMITYVILLE,NY,11701,3420,SUFFOLK,36103,-73.4064,40.667008
1186,CVS - 5008,39 MEADOW STREET,CLINTON,NY,13323,1625,ONEIDA,36065,-75.385464,43.043252
1187,THE MEDICINE SHOPPE PHARMACY,18 KELLOGG ROAD,NEW HARTFORD,NY,13413,2825,ONEIDA,36065,-75.280309,43.055757
1188,RITE AID - 10763,5380 WEST TAFT ROAD,NORTH SYRACUSE,NY,13212,3766,ONONDAGA,36067,-76.14349,43.122147999999996
1189,WALDBAUMS,812 MONTAUK HIGHWAY,CENTER MORICHES,NY,11934,2212,SUFFOLK,36103,-72.81025,40.802482
1190,COLONIAL DRUGS AND SURGICAL SUPPLY,100 FRONT STREET,GREENPORT,NY,11944,1616,SUFFOLK,36103,-72.360651,41.102467
1191,HOLLAND PATENT HEALTH MART PHARMACY,9553 MAIN STREET,HOLLAND PATENT,NY,13354,3818,ONEIDA,36065,-75.25604399999999,43.242575
1192,RITE AID - 755,104 GENESEE STREET,ONEIDA,NY,13421,2716,MADISON,36053,-75.641189,43.07949
1193,CVS - 1186,822 MIDDLE COUNTRY ROAD,SELDEN,NY,11784,2506,SUFFOLK,36103,-73.041872,40.864683
1194,TARGET,1 SANGERTOWN SQUARE,NEW HARTFORD,NY,13413,1518,ONEIDA,36065,-75.315903,43.083709000000006
1195,RITE AID - 2490,114 NORTH MAIN STREET,NORTH SYRACUSE,NY,13212,2325,ONONDAGA,36067,-76.128825,43.135899
1196,RITE AID - 3424,300 WEST MANLIUS STREET,EAST SYRACUSE,NY,13057,2547,ONONDAGA,36067,-76.074938,43.064684
1197,KINNEY DRUGS,515 STEWART DRIVE,SYRACUSE,NY,13212,3417,ONONDAGA,36067,-76.101049,43.12121
1198,CVS - 2211,701 WELLWOOD AVENUE,LINDENHURST,NY,11757,1602,SUFFOLK,36103,-73.387675,40.704823
1199,TARGET,1150 OLD COUNTRY ROAD,RIVERHEAD,NY,11901,2073,SUFFOLK,36103,-72.680155,40.933209999999995
1200,KINNEY DRUGS,7998 STATE ROUTE 31,BRIDGEPORT,NY,13030, ,ONONDAGA,36067,-75.974245,43.154125
1201,WALGREENS - 9799,49 KELLOGG ROAD,NEW HARTFORD,NY,13413,2849,ONEIDA,36065,-75.276535,43.055253
1202,KINNEY DRUGS,8150 THOMPSON ROAD,CICERO,NY,13039,9379,ONONDAGA,36067,-76.092297,43.166451
1203,WAL-MART SUPERCENTER - 2093,710 HORATIO STREET,UTICA,NY,13502,1461,ONEIDA,36065,-75.225757,43.123374
1204,CVS - 3382,29 HAVENWOOD DRIVE,SHIRLEY,NY,11967,3901,SUFFOLK,36103,-72.87110200000001,40.760831
1205,RITE AID - 10665,532A UNION BOULEVARD,WEST ISLIP,NY,11795,3105,SUFFOLK,36103,-73.29590400000001,40.709122
1206,KINNEY DRUGS,7608 OSWEGO ROAD,LIVERPOOL,NY,13090,2900,ONONDAGA,36067,-76.225488,43.139312
1207,WAL-MART SUPERCENTER - 1677,4765 COMMERCIAL DRIVE,NEW HARTFORD,NY,13413,6211,ONEIDA,36065,-75.312327,43.095442999999996
1208,KINNEY DRUGS,596 UNITED STATES ROUTE 11,TULLY,NY,13159, ,ONONDAGA,36067,-76.121169,42.800661
1209,WAL-MART - 2583,1123 JERUSALEM AVENUE,UNIONDALE,NY,11553,3004,NASSAU,36059,-73.578071,40.695904999999996
1210,RITE AID - 10664,1141 WANTAGH AVENUE,WANTAGH,NY,11793,2135,NASSAU,36059,-73.50605999999999,40.694996
1211,CVS - 5753,516 MONTAUK HIGHWAY,CENTER MORICHES,NY,11934,2207,SUFFOLK,36103,-72.798953,40.799215999999994
1212,SAG HARBOR PHARMACY,120 MAIN STREET,SAG HARBOR,NY,11963,3007,SUFFOLK,36103,-72.295744,40.999961
1213,CVS - 1163,1110 ROUTE 112,PORT JEFFERSON STATION,NY,11776, ,SUFFOLK,36103,-73.040408,40.917907
